id,role_rank,job_role,job_role_clean,company,start_date,end_date,is_current,days_to_next_role,days_in_role,gap_days_before,major,graduation_year,gender,final_cluster_id,final_cluster_label,detailed_cluster_id,detailed_cluster_label,has_grad_degree,grad_degree_type,grad_major
1,9,intern,intern,turner construction company,5/1/10,8/1/10,FALSE,365,92,,building construction,2012,male,7,7_OtherIntern,9,9_OtherIntern,FALSE,,
1,8,intern,intern,forrester construction company,5/1/11,8/1/11,FALSE,397,92,273,building construction,2012,male,7,7_OtherIntern,9,9_OtherIntern,FALSE,,
1,7,office engineer  assistant project manager,office engineer  assistant project manager,turner construction,6/1/12,8/1/13,FALSE,487,426,305,building construction,2012,male,8,8_ProjectManagementRoute,1,1_FieldPositions,FALSE,,
1,6,carpenters apprentice,carpenters apprentice,greater pennsylvania regional council of carpenters,10/1/13,4/1/14,FALSE,212,182,61,building construction,2012,male,1,1_FieldLabor,1,1_FieldPositions,FALSE,,
1,5,carpenter,carpenter,martel construction,5/1/14,9/1/15,FALSE,549,488,30,building construction,2012,male,1,1_FieldLabor,1,1_FieldPositions,FALSE,,
1,4,assistant superintendent,assistant superintendent,dpr construction,11/1/15,4/1/18,FALSE,912,882,61,building construction,2012,male,2,2_FieldRoute,4,4_Superintendent,FALSE,,
1,3,lead carpenter,lead carpenter,ric design build,5/1/18,2/1/20,FALSE,670,641,30,building construction,2012,male,1,1_FieldLabor,1,1_FieldPositions,FALSE,,
1,2,construction superintendent,construction superintendent,dpr construction,3/1/20,5/1/23,FALSE,1187,1156,29,building construction,2012,male,2,2_FieldRoute,4,4_Superintendent,FALSE,,
1,1,pspp resource planning scheduling  production planning,pspp resource planning scheduling  production planning,dpr construction,6/1/23,7/17/25,TRUE,,777,31,building construction,2012,male,21,21_Scheduling,30,30_Scheduling,FALSE,,
2,10,internship,internship,l f jennings inc,5/1/12,8/1/12,FALSE,245,92,,building construction,2012,male,7,7_OtherIntern,9,9_OtherIntern,FALSE,,
2,9,field engineer,field engineer,robins  morton,1/1/13,10/1/14,FALSE,638,638,153,building construction,2012,male,2,2_FieldRoute,2,2_FieldEngineer,FALSE,,
2,8,project engineer,project engineer,robins  morton,10/1/14,1/1/15,FALSE,123,92,0,building construction,2012,male,8,8_ProjectManagementRoute,10,10_ProjectEngineer,FALSE,,
2,7,project engineer,project engineer,the whitingturner contracting company,2/1/15,1/1/16,FALSE,334,334,31,building construction,2012,male,8,8_ProjectManagementRoute,10,10_ProjectEngineer,FALSE,,
2,6,assistant project manager,assistant project manager,the whitingturner contracting company,1/1/16,8/1/16,FALSE,182,213,0,building construction,2012,male,8,8_ProjectManagementRoute,11,11_AssistantProjectManager,FALSE,,
2,5,assistant project manager,assistant project manager,hill construction company,7/1/16,3/1/19,FALSE,973,973,-31,building construction,2012,male,8,8_ProjectManagementRoute,11,11_AssistantProjectManager,FALSE,,
2,4,project manager,project manager,stantec,3/1/19,1/1/22,FALSE,1037,1037,0,building construction,2012,male,8,8_ProjectManagementRoute,12,12_ProjectManager,FALSE,,
2,3,project director,project director,stantec,1/1/22,4/1/22,FALSE,90,90,0,building construction,2012,male,8,8_ProjectManagementRoute,23,23_Director,FALSE,,
2,2,project director,project director,storey program management llc,4/1/22,3/1/25,FALSE,1065,1065,0,building construction,2012,male,8,8_ProjectManagementRoute,23,23_Director,FALSE,,
2,1,healthcare development lead,healthcare development lead,southwood corporation,3/1/25,7/17/25,TRUE,,138,0,building construction,2012,male,23,23_Others,28,28_Others,FALSE,,
3,7,track supervisor,track supervisor,norfolk southern corporation,6/1/12,9/1/14,FALSE,822,822,,building construction,2012,male,23,23_Others,28,28_Others,FALSE,,
3,6,senior project manager,senior project manager,amtrak,9/1/14,7/1/18,FALSE,1399,1399,0,building construction,2012,male,8,8_ProjectManagementRoute,13,13_SeniorProjectManager,FALSE,,
3,5,capital construction manager,capital construction manager,amtrak,7/1/18,11/1/21,FALSE,1219,1219,0,building construction,2012,male,8,8_ProjectManagementRoute,12,12_ProjectManager,FALSE,,
3,4,sr principal project manager,sr principal project manager,amtrak,11/1/21,2/1/23,FALSE,457,457,0,building construction,2012,male,8,8_ProjectManagementRoute,13,13_SeniorProjectManager,FALSE,,
3,3,sr manager capital construction,sr manager capital construction,amtrak,2/1/23,9/1/24,FALSE,242,578,0,building construction,2012,male,8,8_ProjectManagementRoute,13,13_SeniorProjectManager,FALSE,,
3,2,acting director portfolio management,acting director portfolio management,amtrak,10/1/23,9/1/24,FALSE,336,336,-336,building construction,2012,male,15,15_OtherDirectors,23,23_Director,FALSE,,
3,1,program director  wus washington union station,program director  wus washington union station,amtrak,9/1/24,7/17/25,TRUE,,319,0,building construction,2012,male,15,15_OtherDirectors,23,23_Director,FALSE,,
